"","V1"
"313","4,3.1,4.5,3.6,3.5,3.4,2.4,3.4,3.2"
"314","4.5,3.6,4.7,3.8,3.5,4.2,2.7,3.9,3.7"
"315","5.2,3.6,5.3,4.3,3.9,4.7,2.8,3.8,3.7"
"316","4.4,3.4,4.7,4.1,3.6,4.6,2.5,3.6,3.4"
"317","3.3,3.2,3.8,4.1,3.7,4.4,2.3,3.2,3.3"
"318","2.8,3.2,3.3,3.7,3.5,3.5,2.3,3.2,3.2"
"319","2.5,3,3.6,2.9,2.6,3,2.9,2.9,2.8"
"320","2.7,2.9,3.7,2.5,2.3,2.4,3.3,2.8,2.6"
"321","3.1,3.2,4.1,2.8,2.5,2.6,3.5,3.1,3"
"322","3.8,3.2,4.4,3,2.6,2.6,3.2,3.1,3.1"
"323","4.2,3.2,4.5,3.4,2.9,3.3,2.9,3.3,3.2"
"324","3.4,3.2,4.2,3.4,3,3.8,2.6,3.3,3.2"
"325","3.6,3.1,4.4,3.6,3.6,4,2.4,3.4,3.2"
"326","4.5,3.5,4.8,3.7,3.3,4.4,2.6,3.8,3.6"
"327","4.9,3.8,5.1,4.2,3.9,4.7,2.9,4,3.9"
"328","4.6,3.6,5.1,4.3,4,4.6,2.7,3.8,3.7"
"329","3.7,3.5,4.4,4.4,4.3,4.3,2.5,3.5,3.6"
"330","2.9,3.1,3.6,3.8,3.6,3.8,2.3,3.1,3.1"
"331","2.6,3,3.7,3.1,2.8,3.1,2.8,2.9,2.8"
"332","2.8,3.2,3.7,2.9,2.8,2.7,3.4,3.1,2.9"
"333","2.9,3.3,3.8,2.9,2.7,2.5,3.6,3.2,3.1"
"334","4,3.6,4.5,3.1,2.7,2.7,3.4,3.5,3.5"
"335","4.4,3.3,4.5,3.4,3,3.2,3.1,3.4,3.3"
"336","3.6,3.3,4.5,3.9,3.5,3.9,2.8,3.4,3.4"
"337","4.4,3.6,5,3.6,3.5,4.1,2.9,3.8,3.6"
"338","4.5,3.6,5,4,3.5,3.9,2.7,3.8,3.6"
"339","5,3.9,5.3,4.3,4,4.6,3.2,4.1,4"
"340","4.4,3.7,4.9,4.2,3.8,4.8,2.8,3.8,3.8"
"341","3.4,3.4,4.1,4,3.7,4.2,2.6,3.4,3.4"
"342","3,3.4,3.8,3.6,3.3,3.6,2.6,3.2,3.3"
"343","2.7,3.2,3.6,2.9,2.6,2.9,3.1,3.2,3"
"344","2.5,2.8,3.7,2.7,2.5,2.5,3.1,2.8,2.6"
"345","2.9,2.9,3.9,2.9,2.6,2.4,3.3,2.8,2.7"
"346","3.6,3.2,4.2,3,2.7,2.5,3.2,3,3.1"
"347","4.2,3.2,4.6,3.5,3.1,3.2,3,3.2,3.1"
"348","3.5,3.2,4.2,3.7,3.3,3.9,2.6,3.3,3.2"
"349","3.9,3.3,4.5,3.4,3.2,3.7,2.6,3.6,3.3"
"350","4.1,3.3,4.4,4.1,4.1,3.9,2.5,3.5,3.4"
"351","4.8,3.6,5,4.6,4.5,4.5,2.7,3.8,3.7"
"352","4.4,3.5,4.6,4.3,3.9,4.9,2.7,3.6,3.5"
"353","3.3,3.2,3.8,4,3.7,4.4,2.4,3.3,3.3"
"354","2.9,3.1,3.3,3.6,3.3,3.4,2.3,3,3"
"355","2.6,3.1,3.5,2.9,2.5,3.1,2.9,3.1,2.9"
"356","2.6,2.9,3.6,2.6,2.5,2.6,3.3,2.8,2.6"
"357","2.8,2.9,3.6,2.9,2.7,2.6,3.4,2.9,2.7"
"358","3.6,3.2,4.1,3.1,2.7,2.6,3.3,3.1,3.1"
"359","4,3.2,4.2,3.4,3,3.1,3.1,3.2,3.2"
"360","3.5,3.2,4.2,3.8,3.5,3.8,2.7,3.3,3.3"
"361","3.7,3,4.3,3.4,3.3,4,2.3,3.2,3.1"
"362","4.5,3.5,4.7,3.6,3.2,4,2.7,3.7,3.5"
"363","4.6,3.5,4.9,4.5,4.2,4.5,2.7,3.7,3.6"
